,1. open,2. high,3. low,4. close,5. volume
2024-10-04,1123.9,1128.4,1080.0,1112.5,17900.0
2024-10-03,1191.5,1191.5,1112.5,1116.7,15807.0
2024-10-01,1234.0,1245.0,1180.05,1191.15,17529.0
2024-09-30,1233.9,1243.15,1225.05,1236.8,7022.0
2024-09-27,1253.8,1253.8,1216.8,1233.9,4711.0
2024-09-26,1240.85,1263.2,1223.6,1235.75,15310.0
2024-09-25,1250.0,1255.7,1222.7,1226.5,5684.0
2024-09-24,1250.0,1270.05,1224.1,1231.05,17641.0
2024-09-23,1223.75,1242.0,1211.8,1237.6,9684.0
2024-09-20,1203.55,1214.8,1198.05,1202.9,13434.0
2024-09-19,1211.55,1222.1,1195.0,1201.55,11628.0
2024-09-18,1233.05,1236.15,1195.0,1201.45,17526.0
2024-09-17,1235.5,1238.2,1215.55,1228.35,8576.0
2024-09-16,1203.5,1245.95,1203.2,1222.45,15551.0
2024-09-13,1224.8,1224.8,1199.0,1202.0,10476.0
2024-09-12,1203.95,1220.55,1195.0,1203.4,15960.0
2024-09-11,1212.0,1245.0,1196.55,1203.95,25964.0
2024-09-10,1201.2,1229.85,1186.95,1207.0,56596.0
2024-09-09,1210.0,1230.0,1195.0,1212.9,36913.0
2024-09-06,1208.95,1313.95,1194.95,1211.8,121967.0
2024-09-05,1209.8,1231.0,1195.0,1209.55,27351.0
2024-09-04,1242.1,1254.6,1188.25,1202.55,94165.0
2024-09-03,1070.35,1272.95,1058.4,1193.6,133557.0
2024-09-02,1003.95,1088.9,1003.95,1060.8,84876.0
2024-08-30,1013.85,1027.15,1006.0,1015.4,48495.0
2024-08-29,1000.1,1029.9,992.6,1013.85,31230.0
2024-08-28,1010.0,1016.35,995.15,1001.9,31978.0
2024-08-27,964.95,1024.55,954.0,1007.75,103905.0
2024-08-26,954.9,961.95,932.4,951.55,13885.0
2024-08-23,938.0,944.15,934.65,939.4,4991.0
2024-08-22,945.0,949.0,934.9,936.65,3856.0
2024-08-21,945.65,946.35,925.25,940.85,11766.0
2024-08-20,916.0,954.5,912.0,932.55,28453.0
2024-08-19,901.05,919.0,897.4,915.75,6570.0
2024-08-16,900.0,917.15,891.9,905.5,9162.0
2024-08-14,900.0,901.0,870.25,889.95,5751.0
2024-08-13,910.0,940.0,881.5,887.35,72462.0
2024-08-12,882.2,908.1,867.7,899.7,3421.0
2024-08-09,876.0,888.0,873.9,882.0,6158.0
2024-08-08,886.0,888.8,862.45,871.0,7905.0
2024-08-07,881.6,886.8,870.5,875.0,6421.0
2024-08-06,870.25,893.0,865.85,871.6,13052.0
2024-08-05,903.7,907.3,865.3,876.9,10901.0
2024-08-02,955.5,956.4,917.1,922.1,73161.0
2024-08-01,900.25,966.0,900.25,951.25,56089.0
2024-07-31,917.8,919.95,898.4,907.8,12073.0
2024-07-30,903.8,918.7,897.9,908.85,3550.0
2024-07-29,899.95,918.35,897.35,903.75,6069.0
2024-07-26,883.0,903.15,883.0,894.3,9222.0
2024-07-25,880.0,896.75,879.2,892.0,6971.0
2024-07-24,870.0,892.55,870.0,888.75,6425.0
2024-07-23,890.0,906.05,877.95,894.6,7415.0
2024-07-22,862.85,892.75,857.4,890.25,3797.0
2024-07-19,882.5,888.4,875.0,880.5,4664.0
2024-07-18,876.65,902.0,876.65,885.15,13717.0
2024-07-16,900.0,914.8,898.85,901.25,9766.0
2024-07-15,900.0,907.65,897.7,903.45,5130.0
2024-07-12,906.0,910.1,898.85,902.6,2685.0
2024-07-11,915.75,915.75,903.0,906.15,6166.0
2024-07-10,928.25,928.25,888.5,913.25,11552.0
2024-07-09,912.75,928.4,897.8,916.4,17979.0
2024-07-08,900.0,915.65,893.55,899.9,42616190.0
2024-07-05,880.05,898.7,880.05,892.55,8001.0
2024-07-04,888.5,912.0,886.05,887.75,20584.0
2024-07-03,914.55,914.55,883.35,898.3,10987.0
2024-07-02,889.1,920.6,886.0,897.8,26676.0
2024-07-01,862.0,893.3,859.6,885.95,16195.0
2024-06-28,845.0,861.85,842.3,854.95,8653.0
2024-06-27,838.0,848.75,838.0,844.6,11201.0
2024-06-26,843.0,861.35,839.95,846.7,24209.0
2024-06-25,835.0,877.75,830.35,842.15,36850.0
2024-06-24,810.05,849.2,805.95,831.7,17522.0
2024-06-21,830.0,830.5,795.5,798.95,16159.0
2024-06-20,821.25,831.25,816.1,822.3,4357.0
2024-06-19,825.0,825.0,805.95,813.1,6116.0
2024-06-18,829.95,830.1,810.05,818.6,6836.0
2024-06-14,844.0,856.1,822.0,825.6,8126.0
2024-06-13,805.0,842.0,797.9,834.2,40048.0
2024-06-12,800.0,804.65,795.45,800.2,14048.0
2024-06-11,809.6,809.6,796.05,799.75,3666.0
2024-06-10,819.95,819.95,799.95,804.9,13903.0
2024-06-07,804.7,829.4,804.7,814.7,6800.0
2024-06-06,808.85,808.85,794.05,803.7,7634.0
2024-06-05,808.95,808.95,762.0,789.05,10264.0
2024-06-04,810.0,810.0,724.35,791.95,16775.0
2024-06-03,824.35,824.35,777.6,790.55,23075.0
2024-05-31,817.95,817.95,772.2,786.25,41268.0
2024-05-30,853.8,853.8,795.0,803.6,22281.0
2024-05-29,834.25,854.65,831.2,835.5,14801.0
2024-05-28,850.3,862.2,830.95,835.55,23862.0
2024-05-27,820.25,851.1,820.25,847.6,30115.0
2024-05-24,842.05,853.55,821.0,824.55,5096.0
2024-05-23,836.05,855.0,828.5,848.75,26286.0
2024-05-22,822.55,841.0,822.5,835.5,25042.0
2024-05-21,780.05,824.0,780.05,820.65,33405.0
2024-05-18,792.0,794.2,781.75,794.2,2971.0
2024-05-17,800.0,801.75,792.9,795.1,8820.0
2024-05-16,800.8,804.75,793.7,798.65,10236.0
2024-05-15,818.65,818.65,796.5,800.7,11770.0
2024-05-14,830.55,832.35,798.6,802.6,12291.0
