,1. open,2. high,3. low,4. close,5. volume
2024-10-04,1668.95,1690.4,1652.4,1656.8,1035087.0
2024-10-03,1710.05,1725.9,1673.8,1682.15,4622696.0
2024-10-01,1724.1,1742.0,1720.05,1726.15,115295.0
2024-09-30,1751.0,1752.0,1724.0,1732.0,725769.0
2024-09-27,1778.1,1778.1,1750.0,1752.85,232369.0
2024-09-26,1778.8,1787.8,1768.1,1782.3,327890.0
2024-09-25,1762.65,1787.9,1760.9,1778.85,3498766.0
2024-09-24,1764.0,1781.8,1754.0,1768.45,249810.0
2024-09-23,1742.2,1766.65,1739.95,1759.25,979531.0
2024-09-20,1715.25,1745.0,1707.55,1742.15,1837269.0
2024-09-19,1696.0,1718.9,1696.0,1708.15,272965.0
2024-09-18,1671.0,1698.8,1671.0,1694.35,272150.0
2024-09-17,1672.55,1677.0,1663.85,1668.7,341205.0
2024-09-16,1660.6,1677.65,1660.6,1671.0,426415.0
2024-09-13,1672.0,1674.0,1657.15,1665.35,445093.0
2024-09-12,1648.3,1669.5,1647.35,1666.0,564550.0
2024-09-11,1650.0,1652.2,1639.1,1644.35,230766.0
2024-09-10,1652.4,1654.0,1638.0,1650.6,287723.0
2024-09-09,1638.2,1649.7,1629.65,1647.5,555998.0
2024-09-06,1640.8,1647.05,1634.0,1637.0,761127.0
2024-09-05,1643.3,1649.9,1641.8,1645.25,266263.0
2024-09-04,1637.0,1643.7,1631.6,1641.95,302917.0
2024-09-03,1635.05,1639.95,1624.85,1637.8,227643.0
2024-09-02,1645.7,1645.7,1620.2,1626.15,942021.0
2024-08-30,1655.0,1660.75,1622.95,1632.95,1281233.0
2024-08-29,1642.0,1644.4,1631.15,1638.5,1096032.0
2024-08-28,1635.6,1640.2,1630.25,1636.4,108039.0
2024-08-27,1640.85,1647.35,1632.2,1637.05,123591.0
2024-08-26,1631.05,1647.55,1631.05,1639.6,1173047.0
2024-08-23,1634.0,1634.85,1622.95,1625.6,739004.0
2024-08-22,1632.0,1638.0,1628.1,1631.75,448191.0
2024-08-21,1626.5,1634.35,1618.0,1626.5,156538.0
2024-08-20,1629.95,1645.8,1628.15,1637.4,438046.0
2024-08-19,1635.75,1637.05,1623.15,1631.55,595399.0
2024-08-16,1622.0,1634.6,1611.6,1632.35,977686.0
2024-08-14,1607.9,1613.55,1603.1,1607.9,305981.0
2024-08-13,1628.0,1631.55,1601.2,1603.6,970561.0
2024-08-12,1641.25,1675.6,1641.25,1661.05,1536607.0
2024-08-09,1655.95,1662.5,1646.1,1649.5,485526.0
2024-08-08,1627.3,1652.95,1619.0,1642.1,490151.0
2024-08-07,1620.95,1628.5,1603.0,1624.9,133278.0
2024-08-06,1621.25,1632.85,1593.2,1601.0,227418.0
2024-08-05,1626.0,1645.7,1601.2,1615.15,2241898.0
2024-08-02,1631.0,1670.1,1631.0,1659.55,1602856.0
2024-08-01,1621.4,1649.0,1619.0,1640.4,797751.0
2024-07-31,1618.95,1627.5,1609.5,1617.05,157749.0
2024-07-30,1603.0,1634.35,1600.0,1615.3,748685.0
